STATION,STATUS,longitude,latitude
NE 145th,Existing / Under Construction,-122.325233528668,47.7361012121992
NE 130th,Future,-122.323813782877,47.72404016422
Shoreline,Future,-122.322850802958,47.7640810883447
Mountlake Terrace,Future,-122.314791200734,47.7850021962777
Lynnwood,Future,-122.294753204068,47.8156389468246
220th St SW,Future,-122.31631092475,47.7984624048966
Westlake,Existing / Under Construction,-122.336719986395,47.6115721588528
University Street,Existing / Under Construction,-122.336019831775,47.6078102407675
Pioneer Square,Existing / Under Construction,-122.33121602176,47.6025601245898
International District / Chinatown,Existing / Under Construction,-122.327992256932,47.5983550239356
Stadium,Existing / Under Construction,-122.327171618272,47.5911083518244
SODO,Existing / Under Construction,-122.327389774014,47.581074282053
Beacon Hill,Existing / Under Construction,-122.311533471218,47.5793276863571
Mount Baker,Existing / Under Construction,-122.297679104375,47.5765501262846
Columbia City,Existing / Under Construction,-122.292691648732,47.5597334784311
Othello,Existing / Under Construction,-122.281562901357,47.5379868480215
Rainier Beach,Existing / Under Construction,-122.279390550758,47.5223936042706
Tukwila International Blvd,Existing / Under Construction,-122.287995911829,47.4640306108864
Northgate,Existing / Under Construction,-122.328290001707,47.7030278568312
Roosevelt,Existing / Under Construction,-122.315976128072,47.6765945836052
U District,Existing / Under Construction,-122.314131795454,47.6603010387388
Capitol Hill,Existing / Under Construction,-122.320194654226,47.6190601473748
Commerce Street,Existing / Under Construction,-122.439331006719,47.2531099934551
Theater District / South 9th Street,Existing / Under Construction,-122.439962896413,47.2561981620972
Convention Center / South 15th Street,Existing / Under Construction,-122.438551896938,47.2494956059004
Union Station / South 19th Street,Existing / Under Construction,-122.436622685943,47.2448652695655
Tacoma Dome,Existing / Under Construction,-122.428118112128,47.2398683838097
South 25th Street,Existing / Under Construction,-122.434201711586,47.2390810794474
University of Washington,Existing / Under Construction,-122.303763015652,47.6498150806149
Airport / SeaTac,Existing / Under Construction,-122.296898315866,47.4453811664942
Angle Lake,Existing / Under Construction,-122.29771402321,47.4227026714562
Mercer Island,Existing / Under Construction,-122.233231674682,47.5881982178678
Judkins Park,Existing / Under Construction,-122.304508544173,47.5902991386253
South Bellevue,Existing / Under Construction,-122.190395806176,47.5865560021647
East Main,Existing / Under Construction,-122.19114714966,47.6081876814778
Bellevue Downtown,Existing / Under Construction,-122.192084303993,47.6152231519934
Wilburton,Existing / Under Construction,-122.183761793767,47.6179673467048
Spring District/120th,Existing / Under Construction,-122.178573081485,47.6237731891775
Bel-Red/130th,Existing / Under Construction,-122.165640324067,47.6244483620133
Overlake Village,Existing / Under Construction,-122.138919608185,47.6363096313489
Redmond Technology Center,Existing / Under Construction,-122.133628215678,47.6448415828875
Downtown Redmond,Future,-122.124797557071,47.673178574205
SE Redmond,Future,-122.109770842075,47.6672964159634
Graham St,Future,-122.285476634923,47.5458722772059
Boeing Access Rd,Future,-122.284927407472,47.5071390944256
Delridge,Future,-122.363991591723,47.569122237468
West Seattle Junction,Future,-122.375580971904,47.5651504529165
Downtown,Future,-122.337975394396,47.61940072732
CID,Future,-122.325971300103,47.5938119738115
Downtown,Future,-122.329335378227,47.6031579577488
Downtown,Future,-122.33594772434,47.6110765049416
Downtown,Future,-122.344418937139,47.6220745404478
Downtown,Future,-122.358039954409,47.6233157538403
South Interbay,Future,-122.375846262592,47.6320508835275
Interbay/Ballard,Future,-122.380121661579,47.6484617327609
Interbay/Ballard,Future,-122.375953810355,47.6680653802022
West Seattle Junction,Future,-122.384139523141,47.5610402339
SODO,Future,-122.32736941455,47.5816929187181
